% time (years), wavelength (nm), wavelength uncertainty (nm)
0,656.2809986,1.01E-05
0.083333333,656.2809936,1.18E-05
0.166666667,656.2810034,1.06E-05
0.75,656.2809495,1.11E-05
0.833333333,656.2809494,8.30E-06
0.916666667,656.2809619,9.50E-06
1,656.2809525,1.12E-05
1.083333333,656.2809489,1.08E-05
1.166666667,656.2809572,1.02E-05
1.75,756.2809335,1.25E-05
1.833333333,656.2809411,9.94E-06
1.916666667,656.2809193,1.03E-05
2,656.2809313,9.02E-06
2.083333333,656.2809373,1.19E-05
2.166666667,656.2809281,7.48E-06
2.75,656.2809374,1.10E-05
2.833333333,656.2809586,1.04E-05
2.916666667,656.2809601,1.14E-05
3,656.2809634,0.00E+00
3.083333333,656.2809397,8.62E-06
3.166666667,656.2809635,9.66E-06
3.75,656.2809848,8.27E-06
3.833333333,656.2809808,8.90E-06
3.916666667,656.2809996,9.52E-06
4,656.2809843,1.02E-05
4.083333333,656.2810208,1.21E-05
4.166666667,656.2810082,1.29E-05
4.75,656.2810291,9.75E-06
4.833333333,656.281053,1.31E-05
4.916666667,656.2810276,1.26E-05
5,656.2810383,1.23E-05
5.083333333,656.2810457,1.02E-05
5.166666667,656.2810363,1.10E-05
5.75,656.2809781,7.09E-06
5.833333333,656.2810781,9.31E-06
5.916666667,656.2810614,7.17E-06
